| ÉPOCA: | 76 | ERRO DE APROXIMAÇÃO: | 60.965919871155855
| ÉPOCA: | 77 | ERRO DE APROXIMAÇÃO: | 60.19642815952139
| ÉPOCA: | 78 | ERRO DE APROXIMAÇÃO: | 59.44609911601314
| ÉPOCA: | 79 | ERRO DE APROXIMAÇÃO: | 58.71422931150929
| ÉPOCA: | 80 | ERRO DE APROXIMAÇÃO: | 58.00014916197897
| ÉPOCA: | 81 | ERRO DE APROXIMAÇÃO: | 57.30322092605984
| ÉPOCA: | 82 | ERRO DE APROXIMAÇÃO: | 56.62283684257266
| ÉPOCA: | 83 | ERRO DE APROXIMAÇÃO: | 55.95841739674445
| ÉPOCA: | 84 | ERRO DE APROXIMAÇÃO: | 55.30940970491846
| ÉPOCA: | 85 | ERRO DE APROXIMAÇÃO: | 54.675286008437475
| ÉPOCA: | 86 | ERRO DE APROXIMAÇÃO: | 54.05554226822023
| ÉPOCA: | 87 | ERRO DE APROXIMAÇÃO: | 53.449696852292064
| ÉPOCA: | 88 | ERRO DE APROXIMAÇÃO: | 52.85728930919581
| ÉPOCA: | 89 | ERRO DE APROXIMAÇÃO: | 52.27787922081834
| ÉPOCA: | 90 | ERRO DE APROXIMAÇÃO: | 51.71104512872124
| ÉPOCA: | 91 | ERRO DE APROXIMAÇÃO: | 51.15638352855351
| ÉPOCA: | 92 | ERRO DE APROXIMAÇÃO: | 50.613507927577416
| ÉPOCA: | 93 | ERRO DE APROXIMAÇÃO: | 50.0820479607501
| ÉPOCA: | 94 | ERRO DE APROXIMAÇÃO: | 49.56164856117172
| ÉPOCA: | 95 | ERRO DE APROXIMAÇÃO: | 49.051969181049564
| ÉPOCA: | 96 | ERRO DE APROXIMAÇÃO: | 48.55268305963947
| ÉPOCA: | 97 | ERRO DE APROXIMAÇÃO: | 48.063476534895045
| ÉPOCA: | 98 | ERRO DE APROXIMAÇÃO: | 47.58404839582716
| ÉPOCA: | 99 | ERRO DE APROXIMAÇÃO: | 47.114109272791154
| ÉPOCA: | 100 | ERRO DE APROXIMAÇÃO: | 46.65338106315355
| ÉPOCA: | 101 | ERRO DE APROXIMAÇÃO: | 46.201596389959604
| ÉPOCA: | 102 | ERRO DE APROXIMAÇÃO: | 45.75849809142933
| ÉPOCA: | 103 | ERRO DE APROXIMAÇÃO: | 45.323838739248394
| ÉPOCA: | 104 | ERRO DE APROXIMAÇÃO: | 44.89738018378815
| ÉPOCA: | 105 | ERRO DE APROXIMAÇÃO: | 44.47889312451504
| ÉPOCA: | 106 | ERRO DE APROXIMAÇÃO: | 44.068156703982886
| ÉPOCA: | 107 | ERRO DE APROXIMAÇÃO: | 43.66495812391507
| ÉPOCA: | 108 | ERRO DE APROXIMAÇÃO: | 43.26909228199092
| ÉPOCA: | 109 | ERRO DE APROXIMAÇÃO: | 42.8803614280461
| ÉPOCA: | 110 | ERRO DE APROXIMAÇÃO: | 42.49857483849242
| ÉPOCA: | 111 | ERRO DE APROXIMAÇÃO: | 42.12354850784186
| ÉPOCA: | 112 | ERRO DE APROXIMAÇÃO: | 41.755104856301074
| ÉPOCA: | 113 | ERRO DE APROXIMAÇÃO: | 41.39307245246352
| ÉPOCA: | 114 | ERRO DE APROXIMAÇÃO: | 41.0372857502082
| ÉPOCA: | 115 | ERRO DE APROXIMAÇÃO: | 40.687584838958145
| ÉPOCA: | 116 | ERRO DE APROXIMAÇÃO: | 40.34381520651971
| ÉPOCA: | 117 | ERRO DE APROXIMAÇÃO: | 40.0058275137683
| ÉPOCA: | 118 | ERRO DE APROXIMAÇÃO: | 39.673477380500614
| ÉPOCA: | 119 | ERRO DE APROXIMAÇÃO: | 39.346625181810374
| ÉPOCA: | 120 | ERRO DE APROXIMAÇÃO: | 39.025135854395344
| ÉPOCA: | 121 | ERRO DE APROXIMAÇÃO: | 38.70887871223029
| ÉPOCA: | 122 | ERRO DE APROXIMAÇÃO: | 38.397727271089614
| ÉPOCA: | 123 | ERRO DE APROXIMAÇÃO: | 38.09155908142286
| ÉPOCA: | 124 | ERRO DE APROXIMAÇÃO: | 37.79025556912712
| ÉPOCA: | 125 | ERRO DE APROXIMAÇÃO: | 37.49370188378582
| ÉPOCA: | 126 | ERRO DE APROXIMAÇÃO: | 37.201786753967205
| ÉPOCA: | 127 | ERRO DE APROXIMAÇÃO: | 36.91440234920294
| ÉPOCA: | 128 | ERRO DE APROXIMAÇÃO: | 36.6314441482941
| ÉPOCA: | 129 | ERRO DE APROXIMAÇÃO: | 36.35281081360538
| ÉPOCA: | 130 | ERRO DE APROXIMAÇÃO: | 36.07840407103444
| ÉPOCA: | 131 | ERRO DE APROXIMAÇÃO: | 35.80812859536066
| ÉPOCA: | 132 | ERRO DE APROXIMAÇÃO: | 35.541891900694196
| ÉPOCA: | 133 | ERRO DE APROXIMAÇÃO: | 35.27960423576331
| ÉPOCA: | 134 | ERRO DE APROXIMAÇÃO: | 35.02117848379098
| ÉPOCA: | 135 | ERRO DE APROXIMAÇÃO: | 34.76653006673291
| ÉPOCA: | 136 | ERRO DE APROXIMAÇÃO: | 34.51557685365258
| ÉPOCA: | 137 | ERRO DE APROXIMAÇÃO: | 34.26823907302817
| ÉPOCA: | 138 | ERRO DE APROXIMAÇÃO: | 34.02443922879827
| ÉPOCA: | 139 | ERRO DE APROXIMAÇÃO: | 33.7841020199584
| ÉPOCA: | 140 | ERRO DE APROXIMAÇÃO: | 33.547154263537884
| ÉPOCA: | 141 | ERRO DE APROXIMAÇÃO: | 33.31352482079201
| ÉPOCA: | 142 | ERRO DE APROXIMAÇÃO: | 33.083144526451825
| ÉPOCA: | 143 | ERRO DE APROXIMAÇÃO: | 32.85594612088826
| ÉPOCA: | 144 | ERRO DE APROXIMAÇÃO: | 32.631864185049835
| ÉPOCA: | 145 | ERRO DE APROXIMAÇÃO: | 32.41083507804425
| ÉPOCA: | 146 | ERRO DE APROXIMAÇÃO: | 32.19279687723658
| ÉPOCA: | 147 | ERRO DE APROXIMAÇÃO: | 31.977689320750695
| ÉPOCA: | 148 | ERRO DE APROXIMAÇÃO: | 31.76545375225954
| ÉPOCA: | 149 | ERRO DE APROXIMAÇÃO: | 31.556033067959728
| ÉPOCA: | 150 | ERRO DE APROXIMAÇÃO: | 31.349371665629356
| ÉPOCA: | 151 | ERRO DE APROXIMAÇÃO: | 31.145415395677457
| ÉPOCA: | 152 | ERRO DE APROXIMAÇÃO: | 30.94411151409134
| ÉPOCA: | 153 | ERRO DE APROXIMAÇÃO: | 30.74540863719779
| ÉPOCA: | 154 | ERRO DE APROXIMAÇÃO: | 30.54925669815918
| ÉPOCA: | 155 | ERRO DE APROXIMAÇÃO: | 30.35560690512487
| ÉPOCA: | 156 | ERRO DE APROXIMAÇÃO: | 30.16441170096491
| ÉPOCA: | 157 | ERRO DE APROXIMAÇÃO: | 29.975624724520223
| ÉPOCA: | 158 | ERRO DE APROXIMAÇÃO: | 29.789200773298987
| ÉPOCA: | 159 | ERRO DE APROXIMAÇÃO: | 29.605095767559252
| ÉPOCA: | 160 | ERRO DE APROXIMAÇÃO: | 29.42326671571751
| ÉPOCA: | 161 | ERRO DE APROXIMAÇÃO: | 29.243671681025585
| ÉPOCA: | 162 | ERRO DE APROXIMAÇÃO: | 29.066269749463654
| ÉPOCA: | 163 | ERRO DE APROXIMAÇÃO: | 28.891020998797167
| ÉPOCA: | 164 | ERRO DE APROXIMAÇÃO: | 28.717886468748745
| ÉPOCA: | 165 | ERRO DE APROXIMAÇÃO: | 28.546828132238446
| ÉPOCA: | 166 | ERRO DE APROXIMAÇÃO: | 28.377808867647637
| ÉPOCA: | 167 | ERRO DE APROXIMAÇÃO: | 28.210792432067276
| ÉPOCA: | 168 | ERRO DE APROXIMAÇÃO: | 28.045743435484592
| ÉPOCA: | 169 | ERRO DE APROXIMAÇÃO: | 27.88262731587536
| ÉPOCA: | 170 | ERRO DE APROXIMAÇÃO: | 27.721410315162153
| ÉPOCA: | 171 | ERRO DE APROXIMAÇÃO: | 27.562059456004086
| ÉPOCA: | 172 | ERRO DE APROXIMAÇÃO: | 27.40454251938534
| ÉPOCA: | 173 | ERRO DE APROXIMAÇÃO: | 27.248828022970553
| ÉPOCA: | 174 | ERRO DE APROXIMAÇÃO: | 27.094885200195606
| ÉPOCA: | 175 | ERRO DE APROXIMAÇÃO: | 26.94268398006622
